escrottu do carai,escrottu,escroto,0.8
escrottu do carai,escrottu,escroto,0.8
arrmbado da p0rr4,arrmbado,arrombado,0.94
arrmbado da p0rr4,arrmbado,arrombadinho,0.8
cuz@0,cuzao,cu,100.0
cuz@0,cuzao,cuzão,80.0
cuz@0,cuzao,cus,80.0
ch&ira p!k4,pika,cabra de peia,75.0
bacanau,bacanau,babaca,80.0
bacanau,bacanau,anus,75.0
bacanau,bacanau,caga,75.0
chuposcara do cotel,chuposcara,caga,75.0
chuposcara,chuposcara,caga,75.0
chupinga,chupinga,chupa rola,76.92307692307692
pai no cool,cool,boiola,75.0
pai no cool,cool,bitchola,75.0
pai no cool,cool,lol,80.0
lambe grelo,lambe grelo,canalha,0.91
grelo,grelo,fuleira,0.91
chupa pênis,chupa pênis,chupa rola,0.88
lambe pênis,lambe pênis,chupa rola,0.88
gordo seboso,gordo seboso,viado babaca,0.89
preto safado,preto safado,negro de merda,0.86
macacao muito bonito,macacao,macaco,90.9090909090909
macacao muito bonito,macacao,macaca,100.0
macacao muito bonito,macacao,caga,75.0
macacao muito bonito,macacao,cagão,75.0
corno,corno,canalha,0.88
gaiera,gaiera,merda,75.0
vaca sebosa,sebosa,bosta,88.88888888888889
vaca sebosa,sebosa,brosca,80.0
butico,butico,bolagato,0.88
minha jeba,minha jeba,vc fod,0.9
pau fedido,pau fedido,fuleira,0.86
fedorento,fedorento,otário,0.91
catingoso,catingoso,cacete,0.91
catinga,catinga,cagada,0.96
huuum zé da manga,ze,zelota,100.0
huuum zé da manga,ze,zero à esquerda,100.0
come pinguelo,pinguelo,lol,80.0
fi duma egua,fi,filho da puta,100.0
fi duma egua,fi,fio de rapariga,100.0
fi duma egua,fi,fio de uma égua,100.0
fi duma egua,fi,fila de uma peste,100.0
fi duma egua,fi,enfia no cu essa merda,100.0
fi duma egua,egua,fio de uma égua,85.71428571428572
fi duma egua,egua,negada,75.0
fi duma egua,egua,homossexualismo,75.0
teu cool,cool,boiola,75.0
teu cool,cool,bitchola,75.0
teu cool,cool,lol,80.0
bixona,bixona,bixa,85.71428571428572
biba,biba,babaca,75.0
biba,biba,bixa,75.0
biba,biba,viado babaca,75.0
biba,biba,baba-ovo,75.0
biba,biba,babaovo,75.0
da o caneco,da o caneco,fuleira,0.9
A aula foi muito ruim.,ruim.,caba ruim,88.88888888888889
A aula foi muito ruim.,ruim.,caba ruim,88.88888888888889
O professor é anti ético em sala de aula.,etico,cretino,80.0
O professor Josino é um dos melhores que ja tive na minha vida. Adoro as aulas dele.,vida.,viado,75.0
O professor Josino é um dos melhores que ja tive na minha vida. Adoro as aulas dele.,vida.,viado babaca,75.0
O professor Josino é um dos melhores que ja tive na minha vida. Adoro as aulas dele.,vida.,viado,75.0
